title,year,genre,director,writer,actors,wiki_url
Cleopatra,1912,"Drama, History",Charles L. Gaskill,Victorien Sardou,"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson, Helene Costello, Charles Sindelar, Mr. Howard, James R. Waite, Mr. Osborne, Harry Knowles, Mr. Paul, Mr. Brady, Mr. Corker","Cleopatra_(1917_film), Cleopatra_(1934_film), Cleopatra_(1963_film), Cleopatra_(1963_film), Cleopatra_(2013_film), "
Richard III,1912,Drama,"André Calmettes, James Keane","James Keane, William Shakespeare","Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice","Richard_III_(1955_film), Richard_III_(1995_film), "
Atlantis,1913,Drama,August Blom,"Axel Garde, Gerhart Hauptmann","Olaf Fønss, Ida Orloff, Ebba Thomsen, Carl Lauritzen, Frederik Jacobsen, Charles Unthan, Torben Meyer, Svend Bille, Oluf Billesborg, Maja Bjerre-Lind, Cajus Bruun, Michael Curtiz, Marie Dinesen, Vera Esbøll, Lily Frederiksen","Atlantis_(1913_film), "
Cinderella,1914,"Fantasy, Drama",James Kirkwood,Charles Perrault,"Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous","Cinderella_(1914_film), Cinderella_(1950_film), Cinderella_(1977_film), Cinderella_(1994_film), Cinderella_(2015_Disney_film), Cinderella_(2015_Disney_film), Cinderella_(2015_Marathi_film), Cinderella_(2012_film), "
A Florida Enchantment,1914,Comedy,Sidney Drew,"Marguerite Bertsch, Archibald Clavering Gunter","Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew, Ada Gifford, Ethel Lloyd, Lillian Burns, Grace Stevens, Allan Campbell, Cortland Van Deusen, Frank O'Neil","A_Florida_Enchantment, "
"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum","Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward, Raymond Russell, Arthur Smollet, J. Charles Haydon, Todd Wright, Vivian Reed, Mai Wells, Mildred Harris, Louise Emmons, Jacqueline Lovell","His_Majesty,_the_Scarecrow_of_Oz, "
In the Land of the Head Hunters,1914,"Drama, History",Edward S. Curtis,Edward S. Curtis,"Stanley Hunt, Sarah Constance Smith Hunt, Mrs. George Walkus, Paddy 'Malid, Balutsa, Kwagwanu, Francine Hunt, Bob Wilson, Awidi, Alfred Charlie","In_the_Land_of_the_Head_Hunters, "
The Perils of Pauline,1914,"Action, Adventure, Drama","Louis J. Gasnier, Donald MacKenzie","Charles W. Goddard, Basil Dickey","Pearl White, Crane Wilbur, Paul Panzer, Edward José, Francis Carlyle, Clifford Bruce, Donald MacKenzie, Jack Standing, Eleanor Woodruff, Leroy Baker, Louise Du Pre, Oscar Nye, Sam J. Ryan, Louis J. Gasnier, Joe Cuny","The_Perils_of_Pauline_(1914_serial), The_Perils_of_Pauline_(1947_film), "
The Squaw Man,1914,"Action, Drama, Romance","Oscar Apfel, Cecil B. DeMille","Edwin Milton Royle, Cecil B. DeMille","Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson, Haidee Fuller, Red Wing, Foster Knox, Fred Montague, 'Baby' Carmen De Rue, Fernando Gálvez, Eugene De Rue, H.R. Macy, H.L. Swisher, Michael J. Kilpatrick, Sydney Deane","The_Squaw_Man_(1914_film), The_Squaw_Man_(1918_film), The_Squaw_Man_(1931_film), "
Tillie's Punctured Romance,1914,Comedy,"Mack Sennett, Charles Bennett",,"Marie Dressler, Charles Chaplin, Mabel Normand, Mack Swain, Charles Bennett, Chester Conklin","Tillie%27s_Punctured_Romance_(1914_film), "
